Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"1QB_S_TIME","40021",Short,1,R/W,300,,,,,,,,,,"",
"AUTO","40003.13",Boolean,1,RO,300,,,,,,,,,,"",
"BLOW","40048.14",Boolean,1,R/W,300,,,,,,,,,,"",
"CAR_LMT0","40002.3",Boolean,1,RO,300,,,,,,,,,,"",
"CAR_LMT1","40003.4",Boolean,1,RO,300,,,,,,,,,,"",
"CF_CLMT","40004.5",Boolean,1,RO,300,,,,,,,,,,"",
"CF_CTMOUT","40006.13",Boolean,1,RO,300,,,,,,,,,,"",
"CF_OLMT","40004.4",Boolean,1,RO,300,,,,,,,,,,"",
"CF_OTMOUT","40006.12",Boolean,1,RO,300,,,,,,,,,,"",
"CF_TIME","40020",Short,1,R/W,300,,,,,,,,,,"",
"CF_TMOUT","40006.3",Boolean,1,RO,300,,,,,,,,,,"",
"CF_TO_TIME","40035",Short,1,R/W,300,,,,,,,,,,"",
"CF_TO_TM","40040",Short,1,R/W,300,,,,,,,,,,"",
"CONTROL","40048.1",Boolean,1,R/W,300,,,,,,,,,,"",
"CRT_TIMER","40009",Short,1,RO,300,,,,,,,,,,"",
"FAULT","40002.13",Boolean,1,RO,300,,,,,,,,,,"",
"FB_CTMOUT","40007.12",Boolean,1,RO,300,,,,,,,,,,"",
"FB_OTMOUT","40007.8",Boolean,1,RO,300,,,,,,,,,,"",
"FEED","40048.12",Boolean,1,R/W,300,,,,,,,,,,"",
"FEED_OVER","40049.4",Boolean,1,R/W,300,,,,,,,,,,"",
"FILTER","40005.8",Boolean,1,RO,300,,,,,,,,,,"",
"FK_CLMT","40004.3",Boolean,1,RO,300,,,,,,,,,,"",
"FK_OLMT","40004.2",Boolean,1,RO,300,,,,,,,,,,"",
"GATE_ALARM","40048.2",Boolean,1,R/W,300,,,,,,,,,,"",
"GY_TIME","40046",Short,1,R/W,300,,,,,,,,,,"",
"HL_CLMT","40004.7",Boolean,1,RO,300,,,,,,,,,,"",
"HL_CTMOUT","40006.15",Boolean,1,RO,300,,,,,,,,,,"",
"HL_OLMT","40004.6",Boolean,1,RO,300,,,,,,,,,,"",
"HL_OTMOUT","40006.14",Boolean,1,RO,300,,,,,,,,,,"",
"HL_TO_TM","40041",Short,1,R/W,300,,,,,,,,,,"",
"JL_CLMT0","40004.13",Boolean,1,RO,300,,,,,,,,,,"",
"JL_CLMT1","40004.15",Boolean,1,RO,300,,,,,,,,,,"",
"JL_CTMOUT0","40006.5",Boolean,1,RO,300,,,,,,,,,,"",
"JL_CTMOUT1","40006.7",Boolean,1,RO,300,,,,,,,,,,"",
"JL_DELAY","40017",Short,1,R/W,300,,,,,,,,,,"",
"JL_OLMT0","40004.12",Boolean,1,RO,300,,,,,,,,,,"",
"JL_OLMT1","40004.14",Boolean,1,RO,300,,,,,,,,,,"",
"JL_OTMOUT0","40006.4",Boolean,1,RO,300,,,,,,,,,,"",
"JL_OTMOUT1","40006.6",Boolean,1,RO,300,,,,,,,,,,"",
"JL_PUMP_UP","40003.15",Boolean,1,RO,300,,,,,,,,,,"",
"JL_TMOUT","40007.14",Boolean,1,RO,300,,,,,,,,,,"",
"JL_TO_TIME","40032",Short,1,R/W,300,,,,,,,,,,"",
"JL_TO_TM0","40036",Short,1,R/W,300,,,,,,,,,,"",
"JL_TO_TM1","40037",Short,1,R/W,300,,,,,,,,,,"",
"JL_ULMT","40003.2",Boolean,1,RO,300,,,,,,,,,,"",
"LB_S_TIME","40023",Short,1,R/W,300,,,,,,,,,,"",
"LB_SR_TIME","40024",Short,1,R/W,300,,,,,,,,,,"",
"LB_TMOUT","40007.11",Boolean,1,RO,300,,,,,,,,,,"",
"LB_TO_TIME","40030",Short,1,R/W,300,,,,,,,,,,"",
"LOCAL","40005.4",Boolean,1,RO,300,,,,,,,,,,"",
"LOOSE","40048.8",Boolean,1,R/W,300,,,,,,,,,,"",
"LOOSE_LMT0","40002.2",Boolean,1,RO,300,,,,,,,,,,"",
"LOOSE_LMT1","40003.7",Boolean,1,RO,300,,,,,,,,,,"",
"PAUSE","40002.12",Boolean,1,RO,300,,,,,,,,,,"",
"PK_CTMOUT","40006.11",Boolean,1,RO,300,,,,,,,,,,"",
"PK_OTMOUT","40006.10",Boolean,1,RO,300,,,,,,,,,,"",
"PK_TMOUT","40006.2",Boolean,1,RO,300,,,,,,,,,,"",
"PK_TO_TIME","40034",Short,1,R/W,300,,,,,,,,,,"",
"PK_TO_TM","40039",Short,1,R/W,300,,,,,,,,,,"",
"PRC_TIMER","40010",Short,1,RO,300,,,,,,,,,,"",
"PRESS","40048.11",Boolean,1,R/W,300,,,,,,,,,,"",
"PRESS_LLMT","40002.6",Boolean,1,RO,300,,,,,,,,,,"",
"PRESS_LMT","40003.14",Boolean,1,RO,300,,,,,,,,,,"",
"PRESS_ULMT","40002.5",Boolean,1,RO,300,,,,,,,,,,"",
"PRS_CTMOUT","40006.0",Boolean,1,RO,300,,,,,,,,,,"",
"PRS_LLMT","40003.3",Boolean,1,RO,300,,,,,,,,,,"",
"PRS_OTMOUT","40006.8",Boolean,1,RO,300,,,,,,,,,,"",
"PRS_ULMT","40003.5",Boolean,1,RO,300,,,,,,,,,,"",
"PULL","40048.10",Boolean,1,R/W,300,,,,,,,,,,"",
"QB_S_TIME","40022",Short,1,R/W,300,,,,,,,,,,"",
"QB_TMOUT","40007.10",Boolean,1,RO,300,,,,,,,,,,"",
"QB_TO_TIME","40029",Short,1,R/W,300,,,,,,,,,,"",
